date,transactions,revenue,black Friday
11/3/2021,300,106941.7,0
11/4/2021,286,98271.52,0
11/5/2021,255,87710.28,0
11/6/2021,270,93243.94,0
11/7/2021,312,105916.47,0
11/8/2021,274,96146.89,0
11/9/2021,214,75510.02,0
11/10/2021,252,86870.89,1
11/11/2021,297,104007.31,1
11/12/2021,270,92607.92,1
11/13/2021,229,83493.11,1
11/14/2021,383,132909.89,1
11/15/2021,356,120477.51,1
11/16/2021,252,92155.31,1
11/17/2021,247,89494.25,1
11/18/2021,230,82854.13,1
11/19/2021,321,127697.04,1
11/20/2021,403,133608.15,1
11/21/2021,576,200366.17,1
11/22/2021,387,144054.22,1
11/23/2021,266,96775.2,1
11/24/2021,394,135355.51,1
11/25/2021,507,181825.09,1
11/26/2021,1993,717994.93,1
11/27/2021,987,350885.05,1
11/28/2021,1581,572012.8,1
11/29/2021,868,303516.34,1
11/30/2021,446,160318.12,1
12/1/2021,426,157747.1,1
12/2/2021,368,130198,1
12/3/2021,339,122006.3,1
12/4/2021,472,171712.34,1
12/5/2021,757,273217.08,1
12/6/2021,746,273757.18,1
12/7/2021,582,206062.66,1
12/8/2021,556,193904.3,0
12/9/2021,518,193014.08,0
12/10/2021,415,145816.74,0
12/11/2021,592,212283.27,0
12/12/2021,861,309900.01,0
12/13/2021,663,243732.84,0
12/14/2021,463,178573.52,0
12/15/2021,605,228655.64,0
12/16/2021,487,176445.39,0
12/17/2021,373,147387.07,0
12/18/2021,502,181286.67,0
12/19/2021,534,187151.44,0
12/20/2021,722,248907.47,0
12/21/2021,388,176411.42,0
12/22/2021,281,102080,0
12/23/2021,226,81968.57,0
12/24/2021,163,58781.43,0
12/25/2021,340,127551.89,0
12/26/2021,472,169760.05,0
12/27/2021,587,221997.16,0
12/28/2021,338,126760.21,0
12/29/2021,333,124971.81,0
12/30/2021,283,104589.42,0
12/31/2021,223,85171.04,0
1/1/2022,209,74213.06,0
1/2/2022,322,115849.42,0
1/3/2022,375,133953.87,0
1/4/2022,256,95216.52,0
1/5/2022,298,112833.21,0
1/6/2022,279,107901.25,0
1/7/2022,178,64698.72,0
1/8/2022,227,83382.57,0
1/9/2022,271,98727.45,0
1/10/2022,208,79169.51,0
1/11/2022,177,66161.56,0
1/12/2022,402,137452.61,0
