date,google,meta
12/27/2021,13675.6,1370.16045
12/28/2021,11280.31,1117.07
12/29/2021,6297.83,1110.7889
12/30/2021,5305.41,983.6
12/31/2021,4116.22,944
1/1/2022,5846.83,1029.56
1/2/2022,9389.4,1013.22
1/3/2022,7611.7,1009.31
1/4/2022,9146.91,997.270601
1/5/2022,8723.76,784.43
1/6/2022,7444.24,762.681429
1/7/2022,6063.21,763.7
1/8/2022,6956.92,796.51
1/9/2022,6740.39,802.99
1/10/2022,5622,794.60077
1/11/2022,4949.36,790.491523
1/12/2022,7549.41,812.36
1/13/2022,5701.8,792.3
1/14/2022,5258.43,785.52
1/15/2022,6306.45,821.74
1/16/2022,6737.72,805.08
1/17/2022,5856.29,781.749237
1/18/2022,5643.12,788.245403
1/19/2022,5591.96,789.411511
1/20/2022,4852.17,821.230859
1/21/2022,4690.72,805.62
1/22/2022,5505.07,808.66
1/23/2022,5776.91,804.81
1/24/2022,4967.98,788.38
1/25/2022,4632.63,808.14
1/26/2022,4601.47,797.969818
1/27/2022,4467.32,792.072768
1/28/2022,5059.9,344.85
1/29/2022,5447.64,0
1/30/2022,5851.51,0
1/31/2022,5055.97,0
2/1/2022,5654.08,930.291976
2/2/2022,6016.85,930.579143
2/3/2022,5444.32,928.289188
2/4/2022,5136.38,928.97
2/5/2022,6331.3,928.99
2/6/2022,7329.64,808.43
2/7/2022,6587.4,787.13
2/8/2022,6422.49,815.667755
2/9/2022,7055.87,804.87
2/10/2022,6598.35,796.15
2/11/2022,6819.35,803.3
2/12/2022,7346.97,784.5
2/13/2022,8423.73,790.02
2/14/2022,7860.45,786.450836
2/15/2022,7440.46,813.93
2/16/2022,7429.61,803.286213
2/17/2022,4605.85,795.82
2/18/2022,4753.27,795.14
2/19/2022,7089.81,814.48
2/20/2022,7257.35,789.34
2/21/2022,7757.35,775.8
2/22/2022,6734.2,814.38
2/23/2022,6271.55,780.89
2/24/2022,5633.38,793.94
2/25/2022,6155.74,812.81
2/26/2022,7068.46,832.84
2/27/2022,9025.82,780.96
2/28/2022,8110.21,805.969181
3/1/2022,7776.53,804.261679
3/2/2022,8254.61,805.74
3/3/2022,7406.89,781.951701
3/4/2022,7092.71,790.772486
3/5/2022,8638.92,830.33
3/6/2022,9585.97,802.211666
3/7/2022,8898.5,808.88
3/8/2022,8368.15,795.638322
3/9/2022,9343.74,787.61
3/10/2022,7735.62,806.22
3/11/2022,6995.76,629.32
3/12/2022,7386.24,601.63
3/13/2022,8302.47,641.57
3/14/2022,6722.98,651.76
3/15/2022,6412.27,662.28
3/16/2022,7336.58,644.99
3/17/2022,6466.18,856.4
3/18/2022,5762.56,735.77
3/19/2022,7192.68,716.16
3/20/2022,7402.22,662.72
3/21/2022,6194.97,647.24
3/22/2022,5740.31,681.72
3/23/2022,5726.49,680.66
3/24/2022,4889.88,707.48
3/25/2022,5145.39,700.15
3/26/2022,5281.6,742.9
3/27/2022,5522.86,735.21
3/28/2022,5478.67,729.87
3/29/2022,5893.82,724.55
